类别,数据项名称,代码埋点逻辑 (如何记录),结算面板文案 (格式化文本),吐槽/风味解析
日常发癫,桌面图标,桌面上新增的文件/快捷方式数量。,电脑桌面图标密集度：足以让密集恐惧症患者当场休克（共 {count * 1.5:.0f} 个“新建文件夹”）,“新建文件夹 (2)” 是当代学者的耶路撒冷。
日常发癫,进度条凝视,运行耗时极长的任务（如训练模型、跑仿真）时跳过回合的数量。,死死盯着进度条企图用念力加速其运行的总时长：{count * 45} 分钟,人类对于计算机最原始的图腾崇拜。
生化环材特供,移液枪肌肉记忆,使用【做实验/加试剂】类卡牌的次数。,按压移液枪大拇指产生的做功：相当于手动给 {count * 5} 头奶牛挤奶,每个湿实验人的大拇指都有自己的想法。
生化环材特供,细胞超度,由于Debuff或压力过高导致【细胞培养】进度归零的次数。,亲自超度的癌细胞/大肠杆菌数量：足以填满 {count * 2} 个骨灰盒,科研狗是世界上最大的杀生机器。
生化环材特供,离心机洗礼,在【实验室】节点逗留的回合数。,受到 12000 转离心机声波洗礼时长：相当于在重金属摇滚演唱会音箱旁绑了 {count * 3} 天,耳鸣是科研赐予你最持久的背景音。
计算机特供,屎山代码高度,使用【疯狂码字】卡牌并产生负面Bug的次数。,堆砌的屎山代码打印在A4纸上：可以从地球连到 {count * 0.01:.2f} 个月球,只要跑得通，就是好架构。
计算机特供,外包比例,使用【复制/搜索】等卡牌完成代码的比例。,核心代码由 StackOverflow/GitHub 网友无意识贡献比例：高达 {count * 5.2:.1f}%,开源万岁，面向谷歌编程万岁。
计算机特供,显卡祈祷,在使用【训练模型】类卡牌时因硬件资源导致失败的次数。,在服务器前跪求 GPU 不要 Out of Memory 的次数：{count} 次,当代算力剥削下的数字农奴制。
文商科特供,问卷卑微,发出【收集数据】卡牌后未能获得足够进度点的次数。,发朋友圈求爷爷告奶奶填问卷的卑微次数：{count} 次,社科人的尊严在“求填问卷”四个字面前一文不值。
文商科特供,理论缝合,将两个完全不相关的【理论标签】强行打在同一个项目上。,强拉硬拽福柯和布迪厄来解释楼下大妈吵架的次数：{count} 次,只要词用的够大，就没有解释不了的现象。
文商科特供,田野驱赶,在【田野调查/访谈】事件中被NPC拒绝或扣血的次数。,被受访者当成推销员/诈骗犯无情驱赶的次数：{count} 次,把人类当成研究对象，就得承受人类的恶意。
经费与贫困,贴发票艺术,进入【财务报销】事件并消耗精力的回合数。,用胶水和发票拼贴出的现代艺术画作总面积：{count * 0.2:.1f} 平方米,报销，才是中国学术界最复杂、最严密的硬核系统。
经费与贫困,讲座蹭饭,为了恢复饥饿度，选择参加【无关学术会议】的次数。,为了混一顿免费盒饭而假装听懂跨专业讲座的时长：{count * 2} 小时,学术会议最大的意义就在于茶歇和晚宴。
经费与贫困,花呗垫付,资金为负数时依然强行购买实验耗材（借贷）。,替导师垫付经费而在花呗上多交的利息：可以买 {count * 10} 根淀粉肠,用自己的花呗，给老板的科研梦想窒息。
身体异化,眼花下跪,因压力过大导致UI模糊或打错牌的次数。,因为眼花把师妹错认成导师而当场吓跪的次数：{count} 次,视网膜脱落前兆。
身体异化,胃病日记,连续多个回合处于【饥饿】状态未进食。,十二指肠溃疡面积：约等于 {count * 0.5:.1f} 个硬币,科研的每一篇 paper 都是用胃黏膜换来的。
身体异化,腱鞘炎指标,一回合内打出超过5张卡牌（爆牌流）。,因过度点击鼠标造成的食指腱鞘炎：相当于玩了 {count * 50} 把只狼,APM 堪比职业电竞选手，只为点一下“Submit”。
毕业焦虑,盲审心脏早搏,处于【论文送审中】状态下的总回合数。,等待盲审成绩时心脏早搏的能量：足够给特斯拉汽车充 {count * 0.1:.2f} 度电,人生中最漫长、最无助的死缓期。
毕业焦虑,降重甲骨文,在【知网查重】事件中消耗大量金币或属性修改文本。,为了降重而创造的全新不知所云的废话词汇量：{count * 50} 个,用 AI 写的初稿，再用 AI 降重，人类只是其中的搬运工。
毕业焦虑,厕所答辩演练,在【宿舍】节点使用【准备答辩】选项的次数。,深夜在厕所对着镜子疯狂练习答辩把室友吓醒的次数：{count} 次,每一个顺利答辩的背后都有一个精神失常的夜晚。
社交降级,朋友圈拉黑率,在事件中选择【向外界抱怨/诉苦】。,朋友圈关于科研的无病呻吟被家人偷偷屏蔽的概率：{count * 5}%,在别人眼里，你只是个不用上班的巨婴。
社交降级,错觉修电脑,触发【帮忙修电脑/装软件】事件的次数。,把异性找你修电脑误以为是对你有意思的次数：{count} 次,理工男三大错觉之首。
社交降级,节假日失忆症,在游戏时间为周末/节假日时，依然选择去实验室。,不知五一/十一为何物，以为全日历都是工作日的连续时长：{count * 30} 天,科研没有假期，只有 Due。
论文投稿,格式修改寿命,因为未满足Boss特定要求被打回重新调整手牌的次数。,因为投稿被拒而反复修改参考文献格式浪费的寿命：{count * 2} 天,最无意义、最消磨人性的学术流水线操作。
论文投稿,审稿人跪舔词汇,在【回复审稿意见】Boss战中使用防御/妥协类卡牌的次数。,在 Response Letter 里使用“Excellent/Brilliant advice”等阿谀奉承词汇：{count * 10} 次,把“你懂个屁”翻译成“感谢专家的宝贵意见”。
论文投稿,疯狂刷新系统,处于【投稿状态】时，每回合强制查看状态的次数。,一天内疯狂刷新投稿系统的次数：堪比双十一抢茅台的 {count * 5} 倍,只要我刷得够快，拒稿就追不上我。
极度发癫,阴暗爬行距离,压力超过95时产生的无效位移或操作。,在午夜的实验室走廊四肢着地阴暗爬行的距离：{count * 5} 米,彻底卸下人类的伪装，回归灵长类本质。
极度发癫,赛博功德,在商店或事件中购买任何【无用安慰剂】道具。,在桌面上敲击赛博木鱼积攒的虚假功德值：{count * 999} 点,佛祖不渡科研狗。
极度发癫,跨物种恋爱,卡关时对着导致卡关的特定机制使用【注视/等待】操作。,试图和经常罢工的实验仪器建立跨物种恋爱关系的次数：{count} 次,既然修不好它，那就爱上它。
极度发癫,垃圾桶寻宝,打错牌导致关键道具/手牌被丢弃后试图挽回的次数。,为了找回误扔的样本/U盘在实验室有害垃圾桶里翻找的次数：{count} 次,博士生的尊严，在找回数据面前不值一提。
导师PUA,斯德哥尔摩感恩,被导师Boss造成巨额伤害后，下一回合打出【顺从】牌。,被导师骂成狗之后还要在微信群发“谢谢老师指导”的违心次数：{count} 次,职场 PUA 的最高境界是让受害者自我攻略。
导师PUA,PPT炼金术,其实没有获得任何【科研进度】，但通过【吹嘘】技能通过了组会考核。,用酷炫的PPT动画掩盖这周其实啥也没干的成功次数：{count} 次,学术界最大的骗局，就是把 0 包装成 1。
